Year,State,Food-at-home sales without taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales without taxes and tips (millions of nominal U.S. dollars),Total food sales without taxes and tips (millions of nominal U.S. dollars),Food-at-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales without taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales without taxes and tips (millions of constant U.S. dollars (1988=100))
2017,Nevada,"7,050.09","11,878.66","18,928.75","3,342.53","5,336.32","8,678.85"
2018,Nevada,"7,459.26","12,344.96","19,804.22","3,521.13","5,363.09","8,884.22"
2019,Nevada,"7,846.31","12,897.15","20,743.46","3,648.24","5,410.60","9,058.84"
2020,Nevada,"8,659.09","10,467.96","19,127.05","3,871.75","4,199.16","8,070.91"
2021,Nevada,"9,226.72","13,956.71","23,183.43","3,953.14","5,338.37","9,291.51"
2022,Nevada,"10,490.89","16,667.14","27,158.03","4,034.65","5,942.21","9,976.86"
2023,Nevada,"10,976.96","18,869.78","29,846.74","4,034.86","6,260.99","10,295.85"
2024,Nevada,"11,496.90","20,036.61","31,533.51","4,167.66","6,354.35","10,522.01"
1997,New Hampshire,"2,184.63","1,341.38","3,526.01","1,612.72","1,062.35","2,675.07"
1998,New Hampshire,"2,239.92","1,406.51","3,646.43","1,629.28","1,086.69","2,715.97"
1999,New Hampshire,"2,459.11","1,497.39","3,956.50","1,751.25","1,124.60","2,875.85"
2000,New Hampshire,"2,590.66","1,610.31","4,200.97","1,815.60","1,184.08","2,999.68"
2001,New Hampshire,"2,726.38","1,672.70","4,399.08","1,851.82","1,194.52","3,046.34"
2002,New Hampshire,"2,812.80","1,768.24","4,581.04","1,890.02","1,232.12","3,122.14"
2003,New Hampshire,"2,873.80","1,855.97","4,729.77","1,888.36","1,266.71","3,155.07"
2004,New Hampshire,"3,095.55","2,004.18","5,099.73","1,948.02","1,331.90","3,279.92"
2005,New Hampshire,"3,296.60","2,109.56","5,406.16","2,021.10","1,363.24","3,384.34"
2006,New Hampshire,"3,485.94","2,216.99","5,702.93","2,089.81","1,382.47","3,472.28"
2007,New Hampshire,"3,653.37","2,289.93","5,943.30","2,107.89","1,370.14","3,478.03"
2008,New Hampshire,"3,899.94","2,334.86","6,234.80","2,118.87","1,336.98","3,455.85"
2009,New Hampshire,"3,936.73","2,311.09","6,247.82","2,117.94","1,279.78","3,397.72"
2010,New Hampshire,"3,974.72","2,376.82","6,351.54","2,118.34","1,295.98","3,414.32"
2011,New Hampshire,"4,255.61","2,499.02","6,754.63","2,174.49","1,329.96","3,504.45"
2012,New Hampshire,"4,445.78","2,617.70","7,063.48","2,211.06","1,356.72","3,567.78"
2013,New Hampshire,"4,415.38","2,788.65","7,204.03","2,177.76","1,421.37","3,599.13"
2014,New Hampshire,"4,374.53","2,986.65","7,361.18","2,121.40","1,489.49","3,610.89"
2015,New Hampshire,"4,500.17","3,234.66","7,734.83","2,152.62","1,576.51","3,729.13"
2016,New Hampshire,"4,604.89","3,436.57","8,041.46","2,232.57","1,631.49","3,864.06"
2017,New Hampshire,"4,659.35","3,670.27","8,329.62","2,255.48","1,702.37","3,957.85"
2018,New Hampshire,"4,766.28","3,826.13","8,592.41","2,279.14","1,726.96","4,006.10"
2019,New Hampshire,"4,925.44","4,008.43","8,933.87","2,336.53","1,758.81","4,095.34"
2020,New Hampshire,"5,279.58","3,547.57","8,827.15","2,421.56","1,502.27","3,923.83"
2021,New Hampshire,"5,462.20","4,401.25","9,863.45","2,447.84","1,779.04","4,226.88"
2022,New Hampshire,"5,503.61","4,968.94","10,472.55","2,239.69","1,879.10","4,118.79"
2023,New Hampshire,"5,186.97","5,219.64","10,406.61","2,014.52","1,847.07","3,861.59"
2024,New Hampshire,"4,865.94","5,350.94","10,216.88","1,872.92","1,814.41","3,687.33"
1997,New Jersey,"10,439.15","8,016.45","18,455.60","7,706.32","6,348.86","14,055.18"
1998,New Jersey,"10,602.41","8,631.20","19,233.61","7,712.02","6,668.61","14,380.63"
1999,New Jersey,"11,270.17","9,022.14","20,292.31","8,026.03","6,775.99","14,802.02"
2000,New Jersey,"11,612.95","9,436.29","21,049.24","8,138.64","6,938.61","15,077.25"
2001,New Jersey,"12,577.39","9,701.75","22,279.14","8,542.87","6,928.25","15,471.12"
2002,New Jersey,"13,064.88","10,223.57","23,288.45","8,778.77","7,123.81","15,902.58"
2003,New Jersey,"14,282.14","11,087.72","25,369.86","9,384.73","7,567.43","16,952.16"
2004,New Jersey,"14,954.99","11,743.44","26,698.43","9,411.12","7,804.27","17,215.39"
2005,New Jersey,"15,620.54","12,427.45","28,047.99","9,576.74","8,030.83","17,607.57"
2006,New Jersey,"15,971.39","13,281.66","29,253.05","9,574.79","8,282.20","17,856.99"
2007,New Jersey,"16,466.22","13,838.76","30,304.98","9,500.55","8,280.21","17,780.76"
2008,New Jersey,"17,156.67","14,184.01","31,340.68","9,321.34","8,122.00","17,443.34"
2009,New Jersey,"16,941.66","14,248.87","31,190.53","9,114.51","7,890.37","17,004.88"
2010,New Jersey,"17,371.40","14,547.37","31,918.77","9,258.15","7,932.03","17,190.18"
2011,New Jersey,"18,042.15","15,081.25","33,123.40","9,219.01","8,026.13","17,245.14"
2012,New Jersey,"18,491.71","15,760.76","34,252.47","9,196.62","8,168.61","17,365.23"
2013,New Jersey,"18,809.44","16,487.19","35,296.63","9,277.22","8,403.52","17,680.74"
2014,New Jersey,"19,506.66","17,557.80","37,064.46","9,459.60","8,756.35","18,215.95"
2015,New Jersey,"19,685.43","18,861.44","38,546.87","9,416.37","9,192.72","18,609.09"
2016,New Jersey,"19,367.59","20,086.10","39,453.69","9,389.91","9,535.75","18,925.66"
2017,New Jersey,"19,702.24","21,527.14","41,229.38","9,537.39","9,984.88","19,522.27"
2018,New Jersey,"20,190.59","22,567.42","42,758.01","9,654.75","10,186.05","19,840.80"
2019,New Jersey,"20,660.55","23,544.31","44,204.86","9,800.98","10,330.75","20,131.73"
2020,New Jersey,"21,683.58","19,540.50","41,224.08","9,945.48","8,274.71","18,220.19"
2021,New Jersey,"22,667.83","24,870.84","47,538.67","10,158.40","10,053.10","20,211.50"
2022,New Jersey,"25,077.52","29,590.67","54,668.19","10,205.30","11,190.28","21,395.58"
2023,New Jersey,"25,383.13","32,712.41","58,095.54","9,858.30","11,575.88","21,434.18"
2024,New Jersey,"25,758.34","34,742.88","60,501.22","9,914.49","11,780.69","21,695.18"
1997,New Mexico,"2,118.24","1,788.94","3,907.18","1,514.51","1,396.19","2,910.70"
1998,New Mexico,"2,142.42","1,860.72","4,003.14","1,486.16","1,414.43","2,900.59"
1999,New Mexico,"2,163.39","1,943.23","4,106.62","1,470.90","1,445.96","2,916.86"
2000,New Mexico,"2,330.04","2,078.25","4,408.29","1,552.47","1,512.60","3,065.07"
2001,New Mexico,"2,504.28","2,175.04","4,679.32","1,601.64","1,534.57","3,136.21"
2002,New Mexico,"2,593.87","2,290.45","4,884.32","1,628.51","1,564.40","3,192.91"
2003,New Mexico,"2,717.36","2,421.08","5,138.44","1,661.25","1,622.18","3,283.43"
2004,New Mexico,"2,875.07","2,568.86","5,443.93","1,694.47","1,669.83","3,364.30"
2005,New Mexico,"3,100.94","2,706.91","5,807.85","1,811.09","1,698.73","3,509.82"
2006,New Mexico,"3,269.34","2,932.72","6,202.06","1,886.72","1,787.99","3,674.71"
2007,New Mexico,"3,472.80","2,853.27","6,326.07","1,914.01","1,679.36","3,593.37"
2008,New Mexico,"3,780.93","2,895.78","6,676.71","1,962.76","1,641.92","3,604.68"
2009,New Mexico,"3,784.91","2,869.06","6,653.97","1,979.22","1,577.61","3,556.83"
2010,New Mexico,"3,807.70","2,926.65","6,734.35","2,003.16","1,590.62","3,593.78"
2011,New Mexico,"3,984.31","3,072.62","7,056.93","1,998.42","1,633.29","3,631.71"
2012,New Mexico,"4,118.00","3,198.55","7,316.55","2,028.87","1,649.76","3,678.63"
2013,New Mexico,"4,168.22","3,387.49","7,555.71","2,035.39","1,711.17","3,746.56"
2014,New Mexico,"4,300.19","3,646.00","7,946.19","2,042.80","1,797.35","3,840.15"
2015,New Mexico,"4,438.18","3,980.57","8,418.75","2,073.60","1,907.44","3,981.04"
2016,New Mexico,"4,490.80","4,218.11","8,708.91","2,122.55","1,957.04","4,079.59"
2017,New Mexico,"4,607.20","4,435.48","9,042.68","2,184.33","1,992.58","4,176.91"
2018,New Mexico,"4,829.65","4,673.87","9,503.52","2,279.83","2,030.50","4,310.33"
2019,New Mexico,"4,991.33","4,880.27","9,871.60","2,320.78","2,047.37","4,368.15"
2020,New Mexico,"5,377.07","4,379.31","9,756.38","2,404.26","1,756.73","4,160.99"
2021,New Mexico,"5,765.30","5,640.25","11,405.55","2,470.12","2,157.37","4,627.49"
2022,New Mexico,"6,567.96","6,477.22","13,045.18","2,525.95","2,309.27","4,835.22"
2023,New Mexico,"6,755.86","7,162.87","13,918.73","2,483.29","2,376.64","4,859.93"
2024,New Mexico,"6,964.63","7,499.64","14,464.27","2,524.70","2,378.41","4,903.11"
1997,New York,"21,369.44","17,301.92","38,671.36","15,775.21","13,702.77","29,477.98"
1998,New York,"21,377.58","18,301.75","39,679.33","15,549.70","14,140.23","29,689.93"
1999,New York,"21,883.14","19,256.99","41,140.13","15,584.04","14,462.76","30,046.80"
2000,New York,"22,722.43","20,837.63","43,560.06","15,924.43","15,322.14","31,246.57"
2001,New York,"23,590.16","21,325.65","44,915.81","16,022.99","15,229.17","31,252.16"
2002,New York,"24,005.38","22,061.02","46,066.40","16,130.10","15,372.18","31,502.28"
2003,New York,"24,945.78","23,260.47","48,206.25","16,391.76","15,875.40","32,267.16"
2004,New York,"26,357.15","24,772.32","51,129.47","16,586.47","16,462.79","33,049.26"
2005,New York,"28,099.43","26,024.21","54,123.64","17,227.37","16,817.28","34,044.65"
2006,New York,"29,556.41","27,414.89","56,971.30","17,718.96","17,095.42","34,814.38"
2007,New York,"30,824.03","29,230.67","60,054.70","17,784.62","17,489.72","35,274.34"
2008,New York,"32,336.05","30,343.52","62,679.57","17,568.40","17,375.21","34,943.61"
2009,New York,"32,251.40","30,714.64","62,966.04","17,351.06","17,008.37","34,359.43"
2010,New York,"33,704.96","32,335.22","66,040.18","17,963.18","17,630.95","35,594.13"
2011,New York,"36,068.17","35,037.36","71,105.53","18,429.78","18,646.63","37,076.41"
2012,New York,"37,598.96","37,288.66","74,887.62","18,699.38","19,326.25","38,025.63"
2013,New York,"38,363.15","39,927.04","78,290.19","18,921.53","20,350.81","39,272.34"
2014,New York,"39,699.44","43,316.85","83,016.29","19,251.94","21,602.79","40,854.73"
2015,New York,"39,591.03","47,224.55","86,815.58","18,938.05","23,016.38","41,954.43"
2016,New York,"39,355.90","49,799.85","89,155.75","19,080.75","23,642.16","42,722.91"
2017,New York,"40,397.54","53,797.73","94,195.27","19,555.49","24,952.87","44,508.36"
2018,New York,"41,543.05","55,922.60","97,465.65","19,865.08","25,241.28","45,106.36"
2019,New York,"42,181.81","57,845.82","100,027.63","20,010.27","25,381.54","45,391.81"
2020,New York,"42,759.97","43,849.64","86,609.61","19,612.47","18,568.78","38,181.25"
2021,New York,"44,881.24","54,855.83","99,737.07","20,113.16","22,173.40","42,286.56"
2022,New York,"49,414.21","68,310.64","117,724.85","20,109.13","25,832.97","45,942.10"
2023,New York,"50,563.11","78,079.99","128,643.10","19,637.70","27,630.04","47,267.74"
2024,New York,"51,861.92","84,682.25","136,544.17","19,961.86","28,714.24","48,676.10"
1997,North Carolina,"11,614.60","7,914.79","19,529.39","8,638.03","6,077.60","14,715.63"
1998,North Carolina,"11,531.48","8,319.14","19,850.62","8,451.05","6,224.10","14,675.15"
1999,North Carolina,"11,922.67","8,776.18","20,698.85","8,601.30","6,409.33","15,010.63"
2000,North Carolina,"12,439.84","9,363.74","21,803.58","8,739.67","6,686.83","15,426.50"
2001,North Carolina,"12,722.23","9,777.81","22,500.04","8,689.64","6,800.02","15,489.66"
2002,North Carolina,"12,586.31","10,282.57","22,868.88","8,486.39","6,992.15","15,478.54"
2003,North Carolina,"12,231.34","10,842.32","23,073.66","8,072.69","7,200.76","15,273.45"
2004,North Carolina,"12,849.18","11,793.45","24,642.63","8,158.77","7,597.47","15,756.24"
2005,North Carolina,"13,502.14","12,535.38","26,037.52","8,402.46","7,848.24","16,250.70"
2006,North Carolina,"13,995.85","13,573.49","27,569.34","8,543.98","8,245.14","16,789.12"
2007,North Carolina,"14,858.79","14,468.76","29,327.55","8,705.66","8,498.66","17,204.32"
2008,North Carolina,"15,772.80","15,026.38","30,799.18","8,658.96","8,437.80","17,096.76"
2009,North Carolina,"15,481.98","14,994.81","30,476.79","8,435.08","8,125.11","16,560.19"
2010,North Carolina,"15,868.03","15,286.70","31,154.73","8,594.81","8,179.03","16,773.84"
2011,North Carolina,"16,970.56","16,128.71","33,099.27","8,744.40","8,441.79","17,186.19"
2012,North Carolina,"17,908.76","17,059.67","34,968.43","8,985.07","8,689.93","17,675.00"
2013,North Carolina,"18,347.92","18,074.96","36,422.88","9,097.28","9,000.49","18,097.77"
2014,North Carolina,"19,273.41","19,272.37","38,545.78","9,328.81","9,375.93","18,704.74"
2015,North Carolina,"19,869.71","20,944.48","40,814.19","9,519.18","9,887.66","19,406.84"
2016,North Carolina,"20,581.69","22,426.27","43,007.96","10,002.38","10,379.74","20,382.12"
2017,North Carolina,"21,852.87","23,963.07","45,815.94","10,643.80","10,872.12","21,515.92"
2018,North Carolina,"22,474.70","25,056.80","47,531.50","10,914.04","11,133.40","22,047.44"
2019,North Carolina,"23,333.12","26,357.59","49,690.71","11,253.44","11,362.07","22,615.51"
2020,North Carolina,"25,441.33","24,245.47","49,686.80","11,853.13","10,173.80","22,026.93"
2021,North Carolina,"27,433.42","29,078.28","56,511.70","12,356.82","11,747.44","24,104.26"
2022,North Carolina,"29,855.62","33,255.54","63,111.16","12,073.96","12,466.28","24,540.24"
2023,North Carolina,"29,938.18","35,611.83","65,550.01","11,493.18","12,463.01","23,956.19"
2024,North Carolina,"30,105.59","36,990.73","67,096.32","11,415.46","12,461.37","23,876.83"
1997,North Dakota,750.98,577.69,"1,328.67",561.65,440.56,"1,002.21"
1998,North Dakota,752.95,603.61,"1,356.56",553.06,448.71,"1,001.77"
1999,North Dakota,776.34,622.89,"1,399.23",558.48,451.65,"1,010.13"
2000,North Dakota,799.86,662.55,"1,462.41",562.4,467.19,"1,029.59"
2001,North Dakota,844.27,680.79,"1,525.06",575.69,466.66,"1,042.35"
2002,North Dakota,872.63,707.96,"1,580.59",590.47,475.06,"1,065.53"
2003,North Dakota,936.35,739.9,"1,676.25",624.78,486.8,"1,111.58"
2004,North Dakota,"1,007.36",790.85,"1,798.21",653.22,505.37,"1,158.59"
2005,North Dakota,"1,095.31",840.35,"1,935.66",695.37,519.27,"1,214.64"
2006,North Dakota,"1,188.85",884.13,"2,072.98",742.87,531.83,"1,274.70"
2007,North Dakota,"1,218.10",942.58,"2,160.68",732.07,548.11,"1,280.18"
2008,North Dakota,"1,352.84",979.73,"2,332.57",764.13,543.94,"1,308.07"
2009,North Dakota,"1,373.58","1,014.79","2,388.37",768.55,543.13,"1,311.68"
2010,North Dakota,"1,455.27","1,065.37","2,520.64",810.64,564,"1,374.64"
2011,North Dakota,"1,586.79","1,144.76","2,731.55",844.21,591.13,"1,435.34"
2012,North Dakota,"1,728.68","1,241.80","2,970.48",896.22,623.12,"1,519.34"
2013,North Dakota,"1,845.61","1,317.50","3,163.11",951.58,645.53,"1,597.11"
2014,North Dakota,"1,979.91","1,428.93","3,408.84",996.09,681.3,"1,677.39"
2015,North Dakota,"1,976.96","1,541.33","3,518.29",989.14,713.1,"1,702.24"
2016,North Dakota,"1,892.56","1,569.31","3,461.87",959.67,707.93,"1,667.60"
2017,North Dakota,"1,920.66","1,655.60","3,576.26",977.41,734.58,"1,711.99"
2018,North Dakota,"1,914.41","1,723.03","3,637.44",973.95,746.65,"1,720.60"
2019,North Dakota,"1,899.04","1,772.86","3,671.90",961.39,748.26,"1,709.65"
2020,North Dakota,"1,964.84","1,675.40","3,640.24",966.79,689.56,"1,656.35"
2021,North Dakota,"2,115.60","2,087.26","4,202.86","1,006.46",817.48,"1,823.94"
2022,North Dakota,"2,277.96","2,218.72","4,496.68",960.24,799.18,"1,759.42"
2023,North Dakota,"2,281.01","2,284.84","4,565.85",913.86,770.5,"1,684.36"
2024,North Dakota,"2,295.17","2,315.34","4,610.51",909.38,754.59,"1,663.97"
1997,Ohio,"12,306.37","11,486.25","23,792.62","9,203.79","8,759.56","17,963.35"
1998,Ohio,"12,648.04","11,959.14","24,607.18","9,290.30","8,890.18","18,180.48"
1999,Ohio,"13,497.90","12,372.04","25,869.94","9,710.05","8,970.87","18,680.92"
2000,Ohio,"14,408.32","13,155.11","27,563.43","10,130.71","9,276.24","19,406.95"
2001,Ohio,"15,067.77","13,479.97","28,547.74","10,274.29","9,240.05","19,514.34"
2002,Ohio,"15,470.53","13,953.53","29,424.06","10,468.30","9,363.24","19,831.54"
2003,Ohio,"17,616.77","14,622.27","32,239.04","11,754.72","9,620.34","21,375.06"
2004,Ohio,"18,262.20","15,539.84","33,802.04","11,842.13","9,930.34","21,772.47"
2005,Ohio,"19,870.91","16,342.92","36,213.83","12,615.23","10,098.69","22,713.92"
2006,Ohio,"20,693.95","16,989.96","37,683.91","12,930.91","10,219.98","23,150.89"
2007,Ohio,"21,722.84","17,463.88","39,186.72","13,055.23","10,155.37","23,210.60"
2008,Ohio,"23,242.69","17,780.91","41,023.60","13,128.24","9,871.82","23,000.06"
2009,Ohio,"22,650.98","17,537.63","40,188.61","12,673.80","9,386.37","22,060.17"
2010,Ohio,"23,217.37","18,028.80","41,246.17","12,933.00","9,544.32","22,477.32"
2011,Ohio,"24,186.34","18,892.76","43,079.10","12,867.75","9,755.90","22,623.65"
2012,Ohio,"25,101.79","19,793.42","44,895.21","13,013.84","9,932.09","22,945.93"
2013,Ohio,"25,527.07","20,829.53","46,356.60","13,161.53","10,205.71","23,367.24"
2014,Ohio,"26,232.77","21,934.56","48,167.33","13,197.68","10,458.12","23,655.80"
2015,Ohio,"26,324.44","23,762.03","50,086.47","13,171.03","10,993.51","24,164.54"
2016,Ohio,"26,753.58","25,178.98","51,932.56","13,566.14","11,358.50","24,924.64"
2017,Ohio,"27,918.23","26,799.82","54,718.05","14,207.41","11,890.99","26,098.40"
2018,Ohio,"28,308.10","27,738.31","56,046.41","14,401.60","12,020.02","26,421.62"
2019,Ohio,"28,657.04","28,727.92","57,384.96","14,507.63","12,124.92","26,632.55"
2020,Ohio,"30,370.47","26,247.46","56,617.93","14,943.68","10,802.86","25,746.54"
2021,Ohio,"31,734.51","31,379.03","63,113.54","15,097.12","12,289.72","27,386.84"
2022,Ohio,"34,247.62","35,329.62","69,577.24","14,436.61","12,725.62","27,162.23"
2023,Ohio,"34,428.55","37,119.01","71,547.56","13,793.33","12,517.47","26,310.80"
2024,Ohio,"34,682.14","38,072.43","72,754.57","13,741.58","12,408.09","26,149.67"
1997,Oklahoma,"3,264.23","3,096.72","6,360.95","2,427.68","2,377.91","4,805.59"
1998,Oklahoma,"3,458.03","3,213.65","6,671.68","2,534.28","2,404.34","4,938.62"
1999,Oklahoma,"3,720.73","3,409.75","7,130.48","2,684.22","2,490.18","5,174.40"
2000,Oklahoma,"4,017.64","3,667.42","7,685.06","2,822.61","2,618.97","5,441.58"
2001,Oklahoma,"4,338.57","3,804.33","8,142.90","2,963.37","2,645.74","5,609.11"
2002,Oklahoma,"4,474.41","3,929.61","8,404.02","3,016.90","2,672.14","5,689.04"
2003,Oklahoma,"4,688.63","4,104.64","8,793.27","3,094.50","2,726.04","5,820.54"
2004,Oklahoma,"4,948.28","4,342.65","9,290.93","3,141.98","2,797.58","5,939.56"
2005,Oklahoma,"5,284.21","4,615.73","9,899.94","3,288.40","2,889.85","6,178.25"
2006,Oklahoma,"5,552.99","4,914.23","10,467.22","3,389.91","2,985.12","6,375.03"
2007,Oklahoma,"5,732.59","5,108.06","10,840.65","3,358.68","3,000.37","6,359.05"
2008,Oklahoma,"6,044.71","5,327.71","11,372.42","3,318.43","2,991.68","6,310.11"
2009,Oklahoma,"5,985.97","5,480.57","11,466.54","3,261.35","2,969.71","6,231.06"
2010,Oklahoma,"6,175.31","5,628.48","11,803.79","3,344.82","3,011.48","6,356.30"
2011,Oklahoma,"6,426.15","5,983.40","12,409.55","3,311.19","3,131.72","6,442.91"
2012,Oklahoma,"6,675.29","6,287.53","12,962.82","3,349.09","3,202.77","6,551.86"
2013,Oklahoma,"6,964.23","6,615.85","13,580.08","3,453.01","3,294.39","6,747.40"
2014,Oklahoma,"7,347.00","7,014.83","14,361.83","3,556.13","3,412.69","6,968.82"
2015,Oklahoma,"7,598.87","7,627.44","15,226.31","3,640.47","3,600.83","7,241.30"
2016,Oklahoma,"7,795.10","8,017.70","15,812.80","3,788.30","3,710.90","7,499.20"
2017,Oklahoma,"8,094.54","8,403.68","16,498.22","3,942.58","3,812.77","7,755.35"
2018,Oklahoma,"8,319.03","8,792.02","17,111.05","4,039.84","3,906.53","7,946.37"
2019,Oklahoma,"8,429.09","9,246.52","17,675.61","4,065.31","3,985.94","8,051.25"
2020,Oklahoma,"9,258.28","9,056.44","18,314.72","4,313.44","3,800.23","8,113.67"
2021,Oklahoma,"9,957.21","10,831.30","20,788.51","4,485.02","4,375.78","8,860.80"
2022,Oklahoma,"11,336.79","11,836.82","23,173.61","4,584.73","4,437.19","9,021.92"
2023,Oklahoma,"11,549.28","12,349.40","23,898.68","4,433.73","4,321.90","8,755.63"
2024,Oklahoma,"11,811.81","12,558.30","24,370.11","4,478.81","4,230.62","8,709.43"
1997,Oregon,"4,826.90","3,547.94","8,374.84","3,451.18","2,769.01","6,220.19"
1998,Oregon,"4,892.62","3,687.46","8,580.08","3,393.93","2,803.03","6,196.96"
1999,Oregon,"5,185.19","3,883.77","9,068.96","3,525.44","2,889.91","6,415.35"
2000,Oregon,"5,438.85","4,142.62","9,581.47","3,623.82","3,015.10","6,638.92"
2001,Oregon,"5,707.27","4,291.08","9,998.35","3,650.15","3,027.51","6,677.66"
2002,Oregon,"5,917.15","4,456.88","10,374.03","3,714.98","3,044.10","6,759.08"
2003,Oregon,"6,216.72","4,696.88","10,913.60","3,800.56","3,147.01","6,947.57"
2004,Oregon,"6,637.90","5,027.74","11,665.64","3,912.16","3,268.17","7,180.33"
2005,Oregon,"7,074.58","5,334.59","12,409.17","4,131.86","3,347.74","7,479.60"
2006,Oregon,"7,528.88","5,721.46","13,250.34","4,344.88","3,488.20","7,833.08"
2007,Oregon,"7,991.64","6,118.89","14,110.53","4,404.54","3,601.42","8,005.96"
2008,Oregon,"8,459.38","6,319.17","14,778.55","4,391.42","3,582.99","7,974.41"
2009,Oregon,"8,210.93","6,080.46","14,291.39","4,293.70","3,343.47","7,637.17"
2010,Oregon,"8,509.07","6,242.32","14,751.39","4,476.48","3,392.67","7,869.15"
2011,Oregon,"8,960.69","6,593.66","15,554.35","4,494.44","3,504.95","7,999.39"
2012,Oregon,"9,295.55","6,928.10","16,223.65","4,579.77","3,573.40","8,153.17"
2013,Oregon,"9,590.36","7,378.71","16,969.07","4,683.09","3,727.31","8,410.40"
2014,Oregon,"10,047.27","8,027.98","18,075.25","4,772.95","3,957.50","8,730.45"
2015,Oregon,"10,379.66","8,929.75","19,309.41","4,849.57","4,279.03","9,128.60"
2016,Oregon,"10,568.46","9,600.05","20,168.51","4,995.12","4,454.05","9,449.17"
2017,Oregon,"11,091.81","10,333.91","21,425.72","5,258.75","4,642.37","9,901.12"
2018,Oregon,"11,452.57","10,890.57","22,343.14","5,406.16","4,731.25","10,137.41"
2019,Oregon,"11,880.59","11,347.12","23,227.71","5,524.02","4,760.33","10,284.35"
2020,Oregon,"12,777.26","9,702.49","22,479.75","5,713.12","3,892.09","9,605.21"
2021,Oregon,"13,681.73","11,953.98","25,635.71","5,861.87","4,572.33","10,434.20"
2022,Oregon,"15,147.83","13,912.32","29,060.15","5,825.64","4,960.05","10,785.69"
2023,Oregon,"15,367.59","15,350.54","30,718.13","5,648.74","5,093.31","10,742.05"
2024,Oregon,"15,618.23","16,276.21","31,894.44","5,661.65","5,161.78","10,823.43"
1997,Pennsylvania,"15,619.27","10,615.02","26,234.29","11,530.35","8,406.88","19,937.23"
1998,Pennsylvania,"15,700.62","11,072.53","26,773.15","11,420.38","8,554.82","19,975.20"
1999,Pennsylvania,"16,647.68","11,644.99","28,292.67","11,855.62","8,745.85","20,601.47"
2000,Pennsylvania,"17,131.27","12,344.71","29,475.98","12,006.01","9,077.20","21,083.21"
2001,Pennsylvania,"17,866.11","12,865.10","30,731.21","12,135.09","9,187.28","21,322.37"
2002,Pennsylvania,"18,468.15","13,497.07","31,965.22","12,409.43","9,404.79","21,814.22"
2003,Pennsylvania,"19,222.84","14,083.98","33,306.82","12,631.24","9,612.39","22,243.63"
2004,Pennsylvania,"20,522.23","14,875.71","35,397.94","12,914.57","9,885.85","22,800.42"
2005,Pennsylvania,"21,290.12","15,726.46","37,016.58","13,052.67","10,162.70","23,215.37"
2006,Pennsylvania,"22,051.78","16,556.48","38,608.26","13,219.96","10,324.32","23,544.28"
2007,Pennsylvania,"23,167.43","17,329.95","40,497.38","13,366.97","10,369.11","23,736.08"
2008,Pennsylvania,"24,461.37","17,808.38","42,269.75","13,290.03","10,197.38","23,487.41"
2009,Pennsylvania,"24,427.99","17,807.97","42,235.96","13,142.11","9,861.25","23,003.36"
2010,Pennsylvania,"25,328.41","18,323.28","43,651.69","13,498.87","9,990.86","23,489.73"
2011,Pennsylvania,"26,747.70","19,306.64","46,054.34","13,667.29","10,274.85","23,942.14"
2012,Pennsylvania,"27,767.31","20,056.50","47,823.81","13,809.73","10,395.04","24,204.77"
2013,Pennsylvania,"27,974.00","20,949.31","48,923.31","13,797.38","10,677.86","24,475.24"
2014,Pennsylvania,"28,567.95","22,184.69","50,752.64","13,853.81","11,063.85","24,917.66"
2015,Pennsylvania,"28,785.30","23,935.80","52,721.10","13,769.22","11,665.87","25,435.09"
2016,Pennsylvania,"28,914.78","25,362.89","54,277.67","14,018.63","12,040.87","26,059.50"
2017,Pennsylvania,"29,135.25","27,005.65","56,140.90","14,103.68","12,525.97","26,629.65"
2018,Pennsylvania,"29,978.04","28,008.71","57,986.75","14,334.91","12,642.04","26,976.95"
2019,Pennsylvania,"30,521.96","29,109.15","59,631.11","14,479.05","12,772.49","27,251.54"
2020,Pennsylvania,"31,949.72","24,518.64","56,468.36","14,654.20","10,382.78","25,036.98"
2021,Pennsylvania,"34,375.01","29,708.15","64,083.16","15,404.88","12,008.40","27,413.28"
2022,Pennsylvania,"36,454.80","34,594.16","71,048.96","14,835.29","13,082.44","27,917.73"
2023,Pennsylvania,"37,513.97","37,932.73","75,446.70","14,569.67","13,423.19","27,992.86"
2024,Pennsylvania,"38,657.94","39,890.38","78,548.32","14,879.60","13,526.12","28,405.72"
1997,Rhode Island,889.58,"1,097.00","1,986.58",656.7,868.8,"1,525.50"
1998,Rhode Island,917.85,"1,134.35","2,052.20",667.63,876.42,"1,544.05"
1999,Rhode Island,979.86,"1,213.04","2,192.90",697.81,911.04,"1,608.85"
2000,Rhode Island,"1,052.78","1,322.32","2,375.10",737.82,972.32,"1,710.14"
2001,Rhode Island,"1,148.63","1,365.94","2,514.57",780.17,975.45,"1,755.62"
2002,Rhode Island,"1,217.43","1,443.42","2,660.85",818.03,"1,005.78","1,823.81"
2003,Rhode Island,"1,257.17","1,541.80","2,798.97",826.08,"1,052.29","1,878.37"
2004,Rhode Island,"1,319.56","1,644.68","2,964.24",830.39,"1,092.99","1,923.38"
2005,Rhode Island,"1,359.70","1,711.11","3,070.81",833.61,"1,105.75","1,939.36"
