Year,State,Food-at-home per capita sales without taxes and tips (nominal U.S. dollars),Food-away-from-home per capita sales without taxes and tips (nominal U.S. dollars),Total food per capita sales without taxes and tips (nominal U.S. dollars),Food-at-home per capita sales without taxes and tips (constant U.S. dollars (1988=100)),Food-away-from-home per capita sales without taxes and tips (constant U.S. dollars (1988=100)),Total food per capita sales without taxes and tips (constant U.S. dollars (1988=100))
1999,Pennsylvania," 1,388.00 ", 970.90 ," 2,358.90 ", 988.46 , 729.18 ," 1,717.64 "
2000,Pennsylvania," 1,394.58 "," 1,004.93 "," 2,399.51 ", 977.36 , 738.93 ," 1,716.29 "
2001,Pennsylvania," 1,452.65 "," 1,046.03 "," 2,498.68 ", 986.68 , 747.00 ," 1,733.68 "
2002,Pennsylvania," 1,497.70 "," 1,094.56 "," 2,592.26 "," 1,006.36 ", 762.69 ," 1,769.05 "
2003,Pennsylvania," 1,553.40 "," 1,138.13 "," 2,691.53 "," 1,020.73 ", 776.78 ," 1,797.51 "
2004,Pennsylvania," 1,653.59 "," 1,198.62 "," 2,852.21 "," 1,040.60 ", 796.56 ," 1,837.16 "
2005,Pennsylvania," 1,710.05 "," 1,263.17 "," 2,973.22 "," 1,048.41 ", 816.28 ," 1,864.69 "
2006,Pennsylvania," 1,762.62 "," 1,323.37 "," 3,085.99 "," 1,056.68 ", 825.23 ," 1,881.91 "
2007,Pennsylvania," 1,843.96 "," 1,379.34 "," 3,223.30 "," 1,063.92 ", 825.31 ," 1,889.23 "
2008,Pennsylvania," 1,939.49 "," 1,411.99 "," 3,351.48 "," 1,053.74 ", 808.53 ," 1,862.27 "
2009,Pennsylvania," 1,928.50 "," 1,405.87 "," 3,334.37 "," 1,037.52 ", 778.51 ," 1,816.03 "
2010,Pennsylvania," 1,992.57 "," 1,441.48 "," 3,434.05 "," 1,061.95 ", 785.98 ," 1,847.93 "
2011,Pennsylvania," 2,098.34 "," 1,514.60 "," 3,612.94 "," 1,072.19 ", 806.06 ," 1,878.25 "
2012,Pennsylvania," 2,174.57 "," 1,570.70 "," 3,745.27 "," 1,081.49 ", 814.08 ," 1,895.57 "
2013,Pennsylvania," 2,188.97 "," 1,639.29 "," 3,828.26 "," 1,079.65 ", 835.54 ," 1,915.19 "
2014,Pennsylvania," 2,233.20 "," 1,734.21 "," 3,967.41 "," 1,082.97 ", 864.88 ," 1,947.85 "
2015,Pennsylvania," 2,250.64 "," 1,871.47 "," 4,122.11 "," 1,076.57 ", 912.12 ," 1,988.69 "
2016,Pennsylvania," 2,261.00 "," 1,983.26 "," 4,244.26 "," 1,096.19 ", 941.54 ," 2,037.73 "
2017,Pennsylvania," 2,277.14 "," 2,110.69 "," 4,387.83 "," 1,102.31 ", 979.00 ," 2,081.31 "
2018,Pennsylvania," 2,340.37 "," 2,186.62 "," 4,526.99 "," 1,119.12 ", 986.96 ," 2,106.08 "
2019,Pennsylvania," 2,384.74 "," 2,274.35 "," 4,659.09 "," 1,131.27 ", 997.94 ," 2,129.21 "
2020,Pennsylvania," 2,458.40 "," 1,886.61 "," 4,345.01 "," 1,127.58 ", 798.91 ," 1,926.49 "
2021,Pennsylvania," 2,641.07 "," 2,282.51 "," 4,923.58 "," 1,183.57 ", 922.62 ," 2,106.19 "
2022,Pennsylvania," 2,807.46 "," 2,664.17 "," 5,471.63 "," 1,142.50 "," 1,007.50 "," 2,150.00 "
2023,Pennsylvania," 2,881.76 "," 2,913.93 "," 5,795.69 "," 1,119.22 "," 1,031.15 "," 2,150.37 "
2024,Pennsylvania," 2,955.78 "," 3,050.01 "," 6,005.79 "," 1,137.69 "," 1,034.21 "," 2,171.90 "
1997,Rhode Island, 901.33 ," 1,111.49 "," 2,012.82 ", 665.37 , 880.27 ," 1,545.64 "
1998,Rhode Island, 929.28 ," 1,148.48 "," 2,077.76 ", 675.94 , 887.33 ," 1,563.27 "
1999,Rhode Island, 988.94 ," 1,224.28 "," 2,213.22 ", 704.27 , 919.49 ," 1,623.76 "
2000,Rhode Island," 1,002.39 "," 1,259.03 "," 2,261.42 ", 702.50 , 925.78 ," 1,628.28 "
2001,Rhode Island," 1,086.54 "," 1,292.11 "," 2,378.65 ", 738.00 , 922.72 ," 1,660.72 "
2002,Rhode Island," 1,142.06 "," 1,354.06 "," 2,496.12 ", 767.39 , 943.51 ," 1,710.90 "
2003,Rhode Island," 1,173.45 "," 1,439.13 "," 2,612.58 ", 771.07 , 982.21 ," 1,753.28 "
2004,Rhode Island," 1,227.98 "," 1,530.53 "," 2,758.51 ", 772.76 ," 1,017.14 "," 1,789.90 "
2005,Rhode Island," 1,273.23 "," 1,602.29 "," 2,875.52 ", 780.60 ," 1,035.43 "," 1,816.03 "
2006,Rhode Island," 1,321.32 "," 1,670.53 "," 2,991.85 ", 792.13 ," 1,041.71 "," 1,833.84 "
2007,Rhode Island," 1,636.23 "," 1,759.12 "," 3,395.35 ", 944.06 ," 1,052.54 "," 1,996.60 "
2008,Rhode Island," 1,681.64 "," 1,791.55 "," 3,473.19 ", 913.64 ," 1,025.87 "," 1,939.51 "
2009,Rhode Island," 1,657.02 "," 1,753.54 "," 3,410.56 ", 891.47 , 971.03 ," 1,862.50 "
2010,Rhode Island," 1,684.97 "," 1,805.54 "," 3,490.51 ", 898.01 , 984.48 ," 1,882.49 "
2011,Rhode Island," 1,774.55 "," 1,891.08 "," 3,665.63 ", 906.75 ," 1,006.42 "," 1,913.17 "
2012,Rhode Island," 1,890.82 "," 1,999.94 "," 3,890.76 ", 940.37 ," 1,036.55 "," 1,976.92 "
2013,Rhode Island," 1,892.27 "," 2,092.62 "," 3,984.89 ", 933.31 ," 1,066.61 "," 1,999.92 "
2014,Rhode Island," 1,929.94 "," 2,249.20 "," 4,179.14 ", 935.91 ," 1,121.71 "," 2,057.62 "
2015,Rhode Island," 1,931.60 "," 2,420.11 "," 4,351.71 ", 923.97 ," 1,179.52 "," 2,103.49 "
2016,Rhode Island," 1,939.64 "," 2,543.68 "," 4,483.32 ", 940.39 ," 1,207.60 "," 2,147.99 "
2017,Rhode Island," 1,949.38 "," 2,695.16 "," 4,644.54 ", 943.65 ," 1,250.09 "," 2,193.74 "
2018,Rhode Island," 2,008.18 "," 2,815.15 "," 4,823.33 ", 960.27 ," 1,270.65 "," 2,230.92 "
2019,Rhode Island," 2,070.15 "," 2,946.90 "," 5,017.05 ", 982.04 ," 1,293.04 "," 2,275.08 "
2020,Rhode Island," 2,066.09 "," 2,388.03 "," 4,454.12 ", 947.64 ," 1,011.25 "," 1,958.89 "
2021,Rhode Island," 2,269.45 "," 3,099.23 "," 5,368.68 "," 1,017.03 "," 1,252.74 "," 2,269.77 "
2022,Rhode Island," 2,570.55 "," 3,549.19 "," 6,119.74 "," 1,046.08 "," 1,342.19 "," 2,388.27 "
2023,Rhode Island," 2,644.96 "," 3,832.27 "," 6,477.23 "," 1,027.25 "," 1,356.12 "," 2,383.37 "
2024,Rhode Island," 2,715.99 "," 3,952.83 "," 6,668.82 "," 1,045.39 "," 1,340.33 "," 2,385.72 "
1997,South Carolina," 1,573.63 "," 1,058.55 "," 2,632.18 "," 1,170.34 ", 812.84 ," 1,983.18 "
1998,South Carolina," 1,517.25 "," 1,109.78 "," 2,627.03 "," 1,111.94 ", 830.30 ," 1,942.24 "
1999,South Carolina," 1,517.66 "," 1,188.30 "," 2,705.96 "," 1,094.88 ", 867.83 ," 1,962.71 "
2000,South Carolina," 1,502.04 "," 1,225.72 "," 2,727.76 "," 1,055.27 ", 875.31 ," 1,930.58 "
2001,South Carolina," 1,493.81 "," 1,261.30 "," 2,755.11 "," 1,020.31 ", 877.18 ," 1,897.49 "
2002,South Carolina," 1,486.33 "," 1,318.35 "," 2,804.68 "," 1,002.17 ", 896.48 ," 1,898.65 "
2003,South Carolina," 1,501.93 "," 1,388.90 "," 2,890.83 ", 991.27 , 922.42 ," 1,913.69 "
2004,South Carolina," 1,581.23 "," 1,478.13 "," 3,059.36 "," 1,004.02 ", 952.23 ," 1,956.25 "
2005,South Carolina," 1,661.24 "," 1,545.25 "," 3,206.49 "," 1,033.80 ", 967.46 ," 2,001.26 "
2006,South Carolina," 1,700.09 "," 1,616.89 "," 3,316.98 "," 1,037.84 ", 982.17 ," 2,020.01 "
2007,South Carolina," 1,780.73 "," 1,686.06 "," 3,466.79 "," 1,043.32 ", 990.36 ," 2,033.68 "
2008,South Carolina," 1,844.75 "," 1,701.80 "," 3,546.55 "," 1,012.73 ", 955.61 ," 1,968.34 "
2009,South Carolina," 1,796.30 "," 1,661.77 "," 3,458.07 ", 978.68 , 900.45 ," 1,879.13 "
2010,South Carolina," 1,846.65 "," 1,692.25 "," 3,538.90 "," 1,000.23 ", 905.42 ," 1,905.65 "
2011,South Carolina," 1,918.35 "," 1,767.52 "," 3,685.87 ", 988.47 , 925.12 ," 1,913.59 "
2012,South Carolina," 1,923.87 "," 1,837.03 "," 3,760.90 ", 965.23 , 935.75 ," 1,900.98 "
2013,South Carolina," 1,965.06 "," 1,922.01 "," 3,887.07 ", 974.32 , 957.07 ," 1,931.39 "
2014,South Carolina," 2,066.34 "," 2,032.50 "," 4,098.84 "," 1,000.16 ", 988.80 ," 1,988.96 "
2015,South Carolina," 2,083.17 "," 2,203.41 "," 4,286.58 ", 998.00 ," 1,040.21 "," 2,038.21 "
2016,South Carolina," 2,101.87 "," 2,320.92 "," 4,422.79 "," 1,021.47 "," 1,074.21 "," 2,095.68 "
2017,South Carolina," 2,169.38 "," 2,442.97 "," 4,612.35 "," 1,056.63 "," 1,108.38 "," 2,165.01 "
2018,South Carolina," 2,264.75 "," 2,577.92 "," 4,842.67 "," 1,099.79 "," 1,145.44 "," 2,245.23 "
2019,South Carolina," 2,308.74 "," 2,681.65 "," 4,990.39 "," 1,113.49 "," 1,155.99 "," 2,269.48 "
2020,South Carolina," 2,511.32 "," 2,516.70 "," 5,028.02 "," 1,170.03 "," 1,056.05 "," 2,226.08 "
2021,South Carolina," 2,619.97 "," 3,004.55 "," 5,624.52 "," 1,180.11 "," 1,213.82 "," 2,393.93 "
2022,South Carolina," 2,936.80 "," 3,322.19 "," 6,258.99 "," 1,187.68 "," 1,245.37 "," 2,433.05 "
2023,South Carolina," 2,951.26 "," 3,495.49 "," 6,446.75 "," 1,132.98 "," 1,223.31 "," 2,356.29 "
2024,South Carolina," 2,979.51 "," 3,552.17 "," 6,531.68 "," 1,129.77 "," 1,196.65 "," 2,326.42 "
1997,South Dakota," 1,328.06 ", 916.01 ," 2,244.07 ", 993.24 , 698.56 ," 1,691.80 "
1998,South Dakota," 1,355.10 ", 963.02 ," 2,318.12 ", 995.35 , 715.89 ," 1,711.24 "
1999,South Dakota," 1,415.48 "," 1,003.33 "," 2,418.81 "," 1,018.26 ", 727.50 ," 1,745.76 "
2000,South Dakota," 1,460.80 "," 1,053.78 "," 2,514.58 "," 1,027.11 ", 743.07 ," 1,770.18 "
2001,South Dakota," 1,557.16 "," 1,111.17 "," 2,668.33 "," 1,061.79 ", 761.67 ," 1,823.46 "
2002,South Dakota," 1,586.65 "," 1,160.48 "," 2,747.13 "," 1,073.63 ", 778.71 ," 1,852.34 "
2003,South Dakota," 1,669.36 "," 1,219.73 "," 2,889.09 "," 1,113.88 ", 802.49 ," 1,916.37 "
2004,South Dakota," 1,757.92 "," 1,298.90 "," 3,056.82 "," 1,139.92 ", 830.03 ," 1,969.95 "
2005,South Dakota," 1,893.41 "," 1,363.00 "," 3,256.41 "," 1,202.05 ", 842.23 ," 2,044.28 "
2006,South Dakota," 1,970.59 "," 1,435.91 "," 3,406.50 "," 1,231.35 ", 863.74 ," 2,095.09 "
2007,South Dakota," 2,061.13 "," 1,476.82 "," 3,537.95 "," 1,238.72 ", 858.78 ," 2,097.50 "
2008,South Dakota," 2,121.92 "," 1,518.46 "," 3,640.38 "," 1,198.53 ", 843.04 ," 2,041.57 "
2009,South Dakota," 2,086.33 "," 1,535.66 "," 3,621.99 "," 1,167.35 ", 821.90 ," 1,989.25 "
2010,South Dakota," 2,117.83 "," 1,562.90 "," 3,680.73 "," 1,179.71 ", 827.39 ," 2,007.10 "
2011,South Dakota," 2,209.41 "," 1,631.91 "," 3,841.32 "," 1,175.46 ", 842.69 ," 2,018.15 "
2012,South Dakota," 2,235.13 "," 1,690.67 "," 3,925.80 "," 1,158.79 ", 848.36 ," 2,007.15 "
2013,South Dakota," 2,228.18 "," 1,744.62 "," 3,972.80 "," 1,148.83 ", 854.80 ," 2,003.63 "
2014,South Dakota," 2,260.58 "," 1,840.74 "," 4,101.32 "," 1,137.30 ", 877.64 ," 2,014.94 "
2015,South Dakota," 2,276.16 "," 1,970.75 "," 4,246.91 "," 1,138.84 ", 911.77 ," 2,050.61 "
2016,South Dakota," 2,336.39 "," 2,062.76 "," 4,399.15 "," 1,184.73 ", 930.53 ," 2,115.26 "
2017,South Dakota," 2,337.63 "," 2,142.87 "," 4,480.50 "," 1,189.61 ", 950.78 ," 2,140.39 "
2018,South Dakota," 2,326.26 "," 2,199.47 "," 4,525.73 "," 1,183.47 ", 953.11 ," 2,136.58 "
2019,South Dakota," 2,311.31 "," 2,244.70 "," 4,556.01 "," 1,170.10 ", 947.40 ," 2,117.50 "
2020,South Dakota," 2,395.41 "," 2,108.17 "," 4,503.58 "," 1,178.65 ", 867.68 ," 2,046.33 "
2021,South Dakota," 2,571.10 "," 2,628.89 "," 5,199.99 "," 1,223.15 "," 1,029.62 "," 2,252.77 "
2022,South Dakota," 2,920.13 "," 2,877.36 "," 5,797.49 "," 1,230.94 "," 1,036.41 "," 2,267.35 "
2023,South Dakota," 2,979.93 "," 3,017.68 "," 5,997.61 "," 1,193.87 "," 1,017.64 "," 2,211.51 "
2024,South Dakota," 3,058.36 "," 3,094.11 "," 6,152.47 "," 1,211.77 "," 1,008.39 "," 2,220.16 "
1997,Tennessee, 865.08 ," 1,000.04 "," 1,865.12 ", 643.38 , 767.91 ," 1,411.29 "
1998,Tennessee," 1,068.97 "," 1,045.66 "," 2,114.63 ", 783.41 , 782.33 ," 1,565.74 "
1999,Tennessee," 1,167.46 "," 1,090.21 "," 2,257.67 ", 842.23 , 796.19 ," 1,638.42 "
2000,Tennessee," 1,188.45 "," 1,132.48 "," 2,320.93 ", 834.95 , 808.72 ," 1,643.67 "
2001,Tennessee," 1,268.85 "," 1,176.94 "," 2,445.79 ", 866.66 , 818.51 ," 1,685.17 "
2002,Tennessee," 1,347.08 "," 1,229.10 "," 2,576.18 ", 908.27 , 835.79 ," 1,744.06 "
2003,Tennessee," 1,392.72 "," 1,302.60 "," 2,695.32 ", 919.19 , 865.10 ," 1,784.29 "
2004,Tennessee," 1,473.90 "," 1,394.42 "," 2,868.32 ", 935.88 , 898.30 ," 1,834.18 "
2005,Tennessee," 1,546.40 "," 1,480.31 "," 3,026.71 ", 962.34 , 926.81 ," 1,889.15 "
2006,Tennessee," 1,629.76 "," 1,557.93 "," 3,187.69 ", 994.91 , 946.36 ," 1,941.27 "
2007,Tennessee," 1,721.86 "," 1,612.64 "," 3,334.50 "," 1,008.83 ", 947.23 ," 1,956.06 "
2008,Tennessee," 1,791.06 "," 1,629.90 "," 3,420.96 ", 983.26 , 915.24 ," 1,898.50 "
2009,Tennessee," 1,751.70 "," 1,596.00 "," 3,347.70 ", 954.38 , 864.81 ," 1,819.19 "
2010,Tennessee," 1,798.76 "," 1,626.55 "," 3,425.31 ", 974.29 , 870.27 ," 1,844.56 "
2011,Tennessee," 1,882.43 "," 1,707.83 "," 3,590.26 ", 969.96 , 893.88 ," 1,863.84 "
2012,Tennessee," 1,928.15 "," 1,810.63 "," 3,738.78 ", 967.38 , 922.31 ," 1,889.69 "
2013,Tennessee," 1,958.67 "," 1,907.40 "," 3,866.07 ", 971.15 , 949.80 ," 1,920.95 "
2014,Tennessee," 2,026.78 "," 2,033.83 "," 4,060.61 ", 981.01 , 989.45 ," 1,970.46 "
2015,Tennessee," 2,027.97 "," 2,212.95 "," 4,240.92 ", 971.56 ," 1,044.71 "," 2,016.27 "
2016,Tennessee," 2,076.73 "," 2,351.27 "," 4,428.00 "," 1,009.26 "," 1,088.26 "," 2,097.52 "
2017,Tennessee," 2,096.29 "," 2,489.37 "," 4,585.66 "," 1,021.03 "," 1,129.44 "," 2,150.47 "
2018,Tennessee," 2,159.53 "," 2,591.63 "," 4,751.16 "," 1,048.70 "," 1,151.53 "," 2,200.23 "
2019,Tennessee," 2,194.25 "," 2,715.03 "," 4,909.28 "," 1,058.27 "," 1,170.38 "," 2,228.65 "
2020,Tennessee," 2,584.26 "," 2,506.90 "," 5,091.16 "," 1,204.01 "," 1,051.94 "," 2,255.95 "
2021,Tennessee," 2,691.82 "," 2,988.24 "," 5,680.06 "," 1,212.48 "," 1,207.23 "," 2,419.71 "
2022,Tennessee," 2,985.74 "," 3,352.97 "," 6,338.71 "," 1,207.47 "," 1,256.91 "," 2,464.38 "
2023,Tennessee," 3,042.63 "," 3,560.07 "," 6,602.70 "," 1,168.06 "," 1,245.91 "," 2,413.97 "
2024,Tennessee," 3,112.50 "," 3,662.12 "," 6,774.62 "," 1,180.20 "," 1,233.69 "," 2,413.89 "
1997,Texas," 1,506.94 "," 1,106.72 "," 2,613.66 "," 1,120.75 ", 849.83 ," 1,970.58 "
1998,Texas," 1,503.36 "," 1,166.96 "," 2,670.32 "," 1,101.77 ", 873.08 ," 1,974.85 "
1999,Texas," 1,563.58 "," 1,213.07 "," 2,776.65 "," 1,128.00 ", 885.92 ," 2,013.92 "
2000,Texas," 1,575.15 "," 1,255.13 "," 2,830.28 "," 1,106.63 ", 896.31 ," 2,002.94 "
2001,Texas," 1,620.20 "," 1,289.38 "," 2,909.58 "," 1,106.64 ", 896.71 ," 2,003.35 "
2002,Texas," 1,602.78 "," 1,325.54 "," 2,928.32 "," 1,080.68 ", 901.36 ," 1,982.04 "
2003,Texas," 1,589.50 "," 1,384.06 "," 2,973.56 "," 1,049.07 ", 919.20 ," 1,968.27 "
2004,Texas," 1,656.07 "," 1,459.23 "," 3,115.30 "," 1,051.55 ", 940.05 ," 1,991.60 "
2005,Texas," 1,732.43 "," 1,521.81 "," 3,254.24 "," 1,078.10 ", 952.78 ," 2,030.88 "
2006,Texas," 1,779.08 "," 1,598.80 "," 3,377.88 "," 1,086.06 ", 971.18 ," 2,057.24 "
2007,Texas," 1,843.82 "," 1,672.33 "," 3,516.15 "," 1,080.28 ", 982.30 ," 2,062.58 "
2008,Texas," 1,919.56 "," 1,734.38 "," 3,653.94 "," 1,053.80 ", 973.91 ," 2,027.71 "
2009,Texas," 1,882.15 "," 1,737.97 "," 3,620.12 "," 1,025.45 ", 941.74 ," 1,967.19 "
2010,Texas," 1,909.50 "," 1,766.05 "," 3,675.55 "," 1,034.27 ", 944.91 ," 1,979.18 "
2011,Texas," 1,990.66 "," 1,862.81 "," 3,853.47 "," 1,025.72 ", 975.00 ," 2,000.72 "
2012,Texas," 2,030.90 "," 1,931.04 "," 3,961.94 "," 1,018.93 ", 983.64 ," 2,002.57 "
2013,Texas," 2,087.37 "," 2,056.16 "," 4,143.53 "," 1,034.96 "," 1,023.87 "," 2,058.83 "
2014,Texas," 2,163.51 "," 2,183.84 "," 4,347.35 "," 1,047.19 "," 1,062.43 "," 2,109.62 "
2015,Texas," 2,177.95 "," 2,357.82 "," 4,535.77 "," 1,043.41 "," 1,113.10 "," 2,156.51 "
2016,Texas," 2,208.28 "," 2,482.13 "," 4,690.41 "," 1,073.19 "," 1,148.82 "," 2,222.01 "
2017,Texas," 2,267.79 "," 2,605.95 "," 4,873.74 "," 1,104.57 "," 1,182.33 "," 2,286.90 "
2018,Texas," 2,331.13 "," 2,721.93 "," 5,053.06 "," 1,132.03 "," 1,209.42 "," 2,341.45 "
2019,Texas," 2,386.56 "," 2,851.27 "," 5,237.83 "," 1,151.03 "," 1,229.11 "," 2,380.14 "
2020,Texas," 2,587.06 "," 2,626.31 "," 5,213.37 "," 1,205.31 "," 1,102.04 "," 2,307.35 "
2021,Texas," 2,752.88 "," 3,152.93 "," 5,905.81 "," 1,239.98 "," 1,273.76 "," 2,513.74 "
2022,Texas," 3,071.42 "," 3,557.59 "," 6,629.01 "," 1,242.12 "," 1,333.61 "," 2,575.73 "
2023,Texas," 3,114.82 "," 3,779.47 "," 6,894.29 "," 1,195.77 "," 1,322.69 "," 2,518.46 "
2024,Texas," 3,171.59 "," 3,864.52 "," 7,036.11 "," 1,202.61 "," 1,301.87 "," 2,504.48 "
1997,Utah," 1,420.48 ", 990.24 ," 2,410.72 "," 1,015.63 ", 772.84 ," 1,788.47 "
1998,Utah," 1,471.00 "," 1,030.68 "," 2,501.68 "," 1,020.41 ", 783.48 ," 1,803.89 "
1999,Utah," 1,563.62 "," 1,059.54 "," 2,623.16 "," 1,063.12 ", 788.40 ," 1,851.52 "
2000,Utah," 1,551.61 "," 1,079.98 "," 2,631.59 "," 1,033.82 ", 786.03 ," 1,819.85 "
2001,Utah," 1,612.85 "," 1,114.96 "," 2,727.81 "," 1,031.52 ", 786.65 ," 1,818.17 "
2002,Utah," 1,612.71 "," 1,151.67 "," 2,764.38 "," 1,012.51 ", 786.60 ," 1,799.11 "
2003,Utah," 1,684.53 "," 1,190.12 "," 2,874.65 "," 1,029.83 ", 797.41 ," 1,827.24 "
2004,Utah," 1,806.60 "," 1,261.68 "," 3,068.28 "," 1,064.75 ", 820.12 ," 1,884.87 "
2005,Utah," 1,875.93 "," 1,303.96 "," 3,179.89 "," 1,095.63 ", 818.30 ," 1,913.93 "
2006,Utah," 1,978.97 "," 1,362.30 "," 3,341.27 "," 1,142.06 ", 830.55 ," 1,972.61 "
2007,Utah," 2,104.20 "," 1,420.28 "," 3,524.48 "," 1,159.72 ", 835.94 ," 1,995.66 "
2008,Utah," 2,227.52 "," 1,458.01 "," 3,685.53 "," 1,156.35 ", 826.70 ," 1,983.05 "
2009,Utah," 2,155.90 "," 1,427.38 "," 3,583.28 "," 1,127.37 ", 784.88 ," 1,912.25 "
2010,Utah," 2,133.90 "," 1,455.05 "," 3,588.95 "," 1,122.61 ", 790.81 ," 1,913.42 "
2011,Utah," 2,214.23 "," 1,530.89 "," 3,745.12 "," 1,110.60 ", 813.77 ," 1,924.37 "
2012,Utah," 2,280.52 "," 1,600.99 "," 3,881.51 "," 1,123.57 ", 825.76 ," 1,949.33 "
2013,Utah," 2,298.54 "," 1,692.12 "," 3,990.66 "," 1,122.41 ", 854.76 ," 1,977.17 "
2014,Utah," 2,363.19 "," 1,804.34 "," 4,167.53 "," 1,122.63 ", 889.47 ," 2,012.10 "
2015,Utah," 2,419.71 "," 1,961.95 "," 4,381.66 "," 1,130.53 ", 940.14 ," 2,070.67 "
2016,Utah," 2,505.50 "," 2,071.96 "," 4,577.46 "," 1,184.21 ", 961.31 ," 2,145.52 "
2017,Utah," 2,657.12 "," 2,193.59 "," 4,850.71 "," 1,259.77 ", 985.44 ," 2,245.21 "
2018,Utah," 2,739.33 "," 2,293.27 "," 5,032.60 "," 1,293.10 ", 996.28 ," 2,289.38 "
2019,Utah," 2,803.53 "," 2,390.78 "," 5,194.31 "," 1,303.54 "," 1,002.98 "," 2,306.52 "
2020,Utah," 2,924.36 "," 2,265.78 "," 5,190.14 "," 1,307.57 ", 908.90 ," 2,216.47 "
2021,Utah," 3,168.31 "," 2,734.26 "," 5,902.57 "," 1,357.45 "," 1,045.84 "," 2,403.29 "
2022,Utah," 3,362.98 "," 3,054.95 "," 6,417.93 "," 1,293.36 "," 1,089.16 "," 2,382.52 "
2023,Utah," 3,447.89 "," 3,225.27 "," 6,673.16 "," 1,267.36 "," 1,070.14 "," 2,337.50 "
2024,Utah," 3,533.95 "," 3,330.64 "," 6,864.59 "," 1,281.07 "," 1,056.27 "," 2,337.34 "
1997,Vermont," 1,538.92 ", 954.28 ," 2,493.20 "," 1,136.05 ", 755.77 ," 1,891.82 "
1998,Vermont," 1,556.43 ", 984.57 ," 2,541.00 "," 1,132.12 ", 760.69 ," 1,892.81 "
1999,Vermont," 1,607.93 "," 1,024.73 "," 2,632.66 "," 1,145.09 ", 769.61 ," 1,914.70 "
2000,Vermont," 1,605.69 "," 1,060.99 "," 2,666.68 "," 1,125.31 ", 780.16 ," 1,905.47 "
2001,Vermont," 1,655.14 "," 1,128.27 "," 2,783.41 "," 1,124.21 ", 805.72 ," 1,929.93 "
2002,Vermont," 1,715.76 "," 1,165.62 "," 2,881.38 "," 1,152.88 ", 812.21 ," 1,965.09 "
2003,Vermont," 1,742.39 "," 1,201.33 "," 2,943.72 "," 1,144.92 ", 819.92 ," 1,964.84 "
2004,Vermont," 1,796.24 "," 1,281.63 "," 3,077.87 "," 1,130.37 ", 851.72 ," 1,982.09 "
2005,Vermont," 1,880.21 "," 1,325.10 "," 3,205.31 "," 1,152.73 ", 856.30 ," 2,009.03 "
2006,Vermont," 1,966.15 "," 1,394.43 "," 3,360.58 "," 1,178.70 ", 869.54 ," 2,048.24 "
2007,Vermont," 2,019.00 "," 1,419.67 "," 3,438.67 "," 1,164.91 ", 849.44 ," 2,014.35 "
2008,Vermont," 2,169.20 "," 1,431.88 "," 3,601.08 "," 1,178.54 ", 819.92 ," 1,998.46 "
2009,Vermont," 2,112.82 "," 1,421.89 "," 3,534.71 "," 1,136.68 ", 787.38 ," 1,924.06 "
2010,Vermont," 2,133.03 "," 1,490.50 "," 3,623.53 "," 1,136.80 ", 812.70 ," 1,949.50 "
2011,Vermont," 2,237.77 "," 1,545.89 "," 3,783.66 "," 1,143.44 ", 822.71 ," 1,966.15 "
2012,Vermont," 2,246.38 "," 1,628.70 "," 3,875.08 "," 1,117.21 ", 844.13 ," 1,961.34 "
2013,Vermont," 2,246.15 "," 1,730.74 "," 3,976.89 "," 1,107.85 ", 882.16 ," 1,990.01 "
2014,Vermont," 2,298.82 "," 1,868.73 "," 4,167.55 "," 1,114.80 ", 931.96 ," 2,046.76 "
2015,Vermont," 2,280.48 "," 2,027.55 "," 4,308.03 "," 1,090.85 ", 988.19 ," 2,079.04 "
2016,Vermont," 2,312.23 "," 2,144.73 "," 4,456.96 "," 1,121.03 "," 1,018.20 "," 2,139.23 "
2017,Vermont," 2,328.32 "," 2,287.63 "," 4,615.95 "," 1,127.08 "," 1,061.07 "," 2,188.15 "
2018,Vermont," 2,394.71 "," 2,376.32 "," 4,771.03 "," 1,145.10 "," 1,072.58 "," 2,217.68 "
2019,Vermont," 2,429.59 "," 2,445.60 "," 4,875.19 "," 1,152.55 "," 1,073.08 "," 2,225.63 "
2020,Vermont," 2,444.81 "," 1,995.31 "," 4,440.12 "," 1,121.35 ", 844.94 ," 1,966.29 "
2021,Vermont," 2,565.47 "," 2,473.75 "," 5,039.22 "," 1,149.69 ", 999.92 ," 2,149.61 "
2022,Vermont," 2,793.11 "," 2,767.31 "," 5,560.42 "," 1,136.66 "," 1,046.51 "," 2,183.17 "
2023,Vermont," 2,795.66 "," 2,937.60 "," 5,733.26 "," 1,085.78 "," 1,039.52 "," 2,125.30 "
2024,Vermont," 2,810.14 "," 3,051.20 "," 5,861.34 "," 1,081.63 "," 1,034.61 "," 2,116.24 "
1997,Virginia," 1,479.16 "," 1,100.05 "," 2,579.21 "," 1,100.08 ", 844.71 ," 1,944.79 "
1998,Virginia," 1,488.01 "," 1,129.69 "," 2,617.70 "," 1,090.52 ", 845.19 ," 1,935.71 "
1999,Virginia," 1,557.08 "," 1,169.76 "," 2,726.84 "," 1,123.31 ", 854.29 ," 1,977.60 "
2000,Virginia," 1,591.07 "," 1,225.64 "," 2,816.71 "," 1,117.81 ", 875.25 ," 1,993.06 "
2001,Virginia," 1,628.65 "," 1,275.22 "," 2,903.87 "," 1,112.42 ", 886.86 ," 1,999.28 "
