observation_date,CXUFOODHOMELB0102M
1984-01-01,1186
1985-01-01,1302
1986-01-01,1243
1987-01-01,1321
1988-01-01,1322
1989-01-01,1513
1990-01-01,1609
1991-01-01,1726
1992-01-01,1654
1993-01-01,1847
1994-01-01,1821
1995-01-01,1827
1996-01-01,1918
1997-01-01,1878
1998-01-01,1772
1999-01-01,1834
2000-01-01,1826
2001-01-01,2124
2002-01-01,2144
2003-01-01,2119
2004-01-01,2044
2005-01-01,1980
2006-01-01,2138
2007-01-01,2005
2008-01-01,2369
2009-01-01,2463
2010-01-01,2270
2011-01-01,2448
2012-01-01,2416
2013-01-01,2514
2014-01-01,2506
2015-01-01,2499
2016-01-01,2502
2017-01-01,2582
2018-01-01,2709
2019-01-01,2790
2020-01-01,3099
2021-01-01,3524
2022-01-01,3624
2023-01-01,3707
2024-01-01,3843
