observation_date,CXUINCBEFTXLB0106M
1984-01-01,56426
1985-01-01,60741
1986-01-01,61477
1987-01-01,65750
1988-01-01,67199
1989-01-01,75406
1990-01-01,76660
1991-01-01,81594
1992-01-01,83131
1993-01-01,84753
1994-01-01,88598
1995-01-01,89011
1996-01-01,92523
1997-01-01,96397
1998-01-01,101602
1999-01-01,110105
2000-01-01,110118
2001-01-01,116666
2002-01-01,121367
2003-01-01,127146
2004-01-01,132158
2005-01-01,147737
2006-01-01,149963
2007-01-01,158388
2008-01-01,158652
2009-01-01,157631
2010-01-01,157369
2011-01-01,161292
2012-01-01,167010
2013-01-01,162720
2014-01-01,172952
2015-01-01,177851
2016-01-01,198674
2017-01-01,188103
2018-01-01,204975
2019-01-01,218670
2020-01-01,218191
2021-01-01,226386
2022-01-01,244025
2023-01-01,264518
2024-01-01,264510
