observation_date,CXUINCBEFTXLB0101M
1984-01-01,23464
1985-01-01,25127
1986-01-01,25460
1987-01-01,27326
1988-01-01,28540
1989-01-01,31308
1990-01-01,31889
1991-01-01,33901
1992-01-01,33854
1993-01-01,34868
1994-01-01,36181
1995-01-01,36918
1996-01-01,38014
1997-01-01,39926
1998-01-01,41622
1999-01-01,43951
2000-01-01,44649
2001-01-01,47507
2002-01-01,49430
2003-01-01,51128
2004-01-01,54453
2005-01-01,58712
2006-01-01,60533
2007-01-01,63091
2008-01-01,63563
2009-01-01,62857
2010-01-01,62481
2011-01-01,63685
2012-01-01,65596
2013-01-01,63784
2014-01-01,66877
2015-01-01,69627
2016-01-01,74664
2017-01-01,73573
2018-01-01,78635
2019-01-01,82852
2020-01-01,84352
2021-01-01,87432
2022-01-01,94003
2023-01-01,101805
2024-01-01,104207
