observation_date,CXUFOODHOMELB0106M
1984-01-01,2921
1985-01-01,3052
1986-01-01,2968
1987-01-01,3060
1988-01-01,3084
1989-01-01,3329
1990-01-01,3509
1991-01-01,3875
1992-01-01,3844
1993-01-01,3910
1994-01-01,3844
1995-01-01,4000
1996-01-01,4299
1997-01-01,4200
1998-01-01,4260
1999-01-01,4273
2000-01-01,4507
2001-01-01,4584
2002-01-01,4528
2003-01-01,4503
2004-01-01,4984
2005-01-01,5007
2006-01-01,5186
2007-01-01,5265
2008-01-01,5645
2009-01-01,5629
2010-01-01,5683
2011-01-01,5828
2012-01-01,5968
2013-01-01,6058
2014-01-01,6039
2015-01-01,6310
2016-01-01,6193
2017-01-01,6677
2018-01-01,6827
2019-01-01,7129
2020-01-01,7813
2021-01-01,8127
2022-01-01,8523
2023-01-01,9198
2024-01-01,9336
