observation_date,CXUFOODHOMELB0104M
1984-01-01,1927
1985-01-01,1957
1986-01-01,1958
1987-01-01,2061
1988-01-01,2074
1989-01-01,2360
1990-01-01,2326
1991-01-01,2577
1992-01-01,2622
1993-01-01,2640
1994-01-01,2654
1995-01-01,2705
1996-01-01,2824
1997-01-01,2876
1998-01-01,2709
1999-01-01,2832
2000-01-01,3081
2001-01-01,3113
2002-01-01,3073
2003-01-01,3114
2004-01-01,3209
2005-01-01,3017
2006-01-01,3210
2007-01-01,3333
2008-01-01,3436
2009-01-01,3355
2010-01-01,3433
2011-01-01,3496
2012-01-01,3633
2013-01-01,3606
2014-01-01,3670
2015-01-01,3445
2016-01-01,3697
2017-01-01,4038
2018-01-01,4081
2019-01-01,4422
2020-01-01,4230
2021-01-01,4754
2022-01-01,5525
2023-01-01,5756
2024-01-01,5820
