observation_date,CXUINCBEFTXLB0102M
1984-01-01,3169
1985-01-01,3594
1986-01-01,3811
1987-01-01,4611
1988-01-01,4942
1989-01-01,5720
1990-01-01,5637
1991-01-01,5981
1992-01-01,5981
1993-01-01,6395
1994-01-01,5937
1995-01-01,6305
1996-01-01,6542
1997-01-01,7086
1998-01-01,7170
1999-01-01,7264
2000-01-01,7683
2001-01-01,7946
2002-01-01,8316
2003-01-01,8201
2004-01-01,9168
2005-01-01,9676
2006-01-01,9974
2007-01-01,10531
2008-01-01,10263
2009-01-01,9846
2010-01-01,9906
2011-01-01,9805
2012-01-01,9988
2013-01-01,9658
2014-01-01,10308
2015-01-01,10916
2016-01-01,11389
2017-01-01,11394
2018-01-01,11285
2019-01-01,12029
2020-01-01,13219
2021-01-01,13165
2022-01-01,14191
2023-01-01,15596
2024-01-01,16658
